Intersection,Borough,score
BROADWAY,Manhattan,1808410.139280636
LINDEN BLVD,Queens,679692.3901616265
4 AV,Manhattan,609312.0949153205
FLATBUSH AVENUE,Brooklyn,599793.2198318585
3 AVENUE,Manhattan,543904.4977019741
65 ST,Brooklyn,444576.3520654922
GRAND CENTRAL PARKWAY,Queens,416157.24915844016
Queens Boulevard,Queens,405246.81553669076
3 AV,Manhattan,349115.35404288274
E 23 ST,Manhattan,309139.4864066588
2 AV,Manhattan,304344.1696986917
VAN WYCK EXPRESSWAY,Queens,284266.6772032089
BROOKLYN QUEENS EXPRESSWAY,Queens,260874.93383462162
76 ST,Queens,254082.50719853607
JACKIE ROBINSON PARKWAY,Queens,248827.8812545142
5 AV,Brooklyn,243987.18699998985
WILLIAMSBURG BR APPROACH,Manhattan,242030.88125451427
79 ST TRANSVERSE,Manhattan,241893.96437311568
90 ST,Queens,227706.0841280392
QUEENS BOULEVARD,Queens,227340.97832440038
7 AV,Brooklyn,220289.12167611145
STILLWELL AV,Brooklyn,216941.46020641632
11 AV,Brooklyn,213429.06014650536
BODY OF WATER,Manhattan,208796.3272899852
8 Avenue Line,Brooklyn,205462.3194646416
E 15 ST,Brooklyn,202540.79092600415
AV N,Brooklyn,200307.87499520194
AV P,Brooklyn,197938.5333362967
QUEENS BLVD,Queens,197658.37823589696
OCEAN PKWY,Brooklyn,195623.58422597114
BENSON AV,Brooklyn,178804.39209031168
NORTHERN BLVD,Queens,173756.23861115714
Broadway,Queens,170435.17052859868
75TH ST WB APPROACH TO BAY PARKWAY,Brooklyn,165940.09715123771
BAY PKWY,Brooklyn,165813.09715123774
ATLANTIC AVENUE,Queens,165297.8799551385
86 ST,Brooklyn,160883.7530143766
85 ST,Queens,158116.9883427781
LINDEN BOULEVARD,Brooklyn,153982.8604699224
60 ST,Brooklyn,151104.08136142607
Avenue S,Brooklyn,147867.00137720272
81 ST,Brooklyn,146742.65593574086
101 AV,Brooklyn,146697.1701214678
EAST 51 STREET,Brooklyn,138564.6354946279
3 Avenue,Manhattan,135615.37380028566
Linden Boulevard,Queens,132703.01545510622
LIBERTY AV,Queens,132686.002949696
PARK AV,Manhattan,130104.7538259748
AV O,Brooklyn,122807.27598661663
ATLANTIC AV,Brooklyn,120403.74328448888
23 AV,Queens,114076.60762260327
HILLSIDE AV,Staten Island,112562.72825855929
MERRICK BOULEVARD,Queens,111593.26453071703
19 AV,Brooklyn,110832.25292874931
111 STREET,Queens,109951.77532109049
DREW ST,Brooklyn,109123.65632232593
18 AV,Brooklyn,108815.9316152772
ROCKAWAY BLVD,Queens,108800.44656409344
CONEY ISLAND AV,Brooklyn,105719.7911111111
BAY PKWY BET 76TH ST & AVE P,Brooklyn,105393.51040623852
BAY PARKWAY NB APPROACH TO 75TH ST,Brooklyn,105393.51040623852
54 ST,Brooklyn,104580.9316152772
N/B BELL BLVD @ 18 AVE,Queens,104070.9316152772
37 AV,Queens,104031.58754134725
ARGYLE RD,Brooklyn,103309.79111111109
CHURCH AV,Brooklyn,103182.79111111109
67 ST,Brooklyn,102328.31915552996
EAST 161 STREET,Bronx,100018.79465789761
TILLARY STREET,Brooklyn,99412.07919190417
1 AVENUE,Manhattan,98516.11000339616
HYLAN BOULEVARD,Staten Island,96778.68332933745
UTICA AVE SB APPROACH TO CHURCH AVE,Brooklyn,95843.79111111109
65 STREET,Brooklyn,95580.15081676314
CORTELYOU RD,Brooklyn,95169.7244444417
MADISON AV,Manhattan,91900.05690981908
E 172 ST,Bronx,89733.2925393414
UNION ST,Queens,89120.86734856063
BROOKLYN AV,Brooklyn,88927.95873863483
WEST END AV,Manhattan,88756.21339668067
CENSUS BOUNDARY,Queens,88072.6548181598
SHERIDAN AV,Brooklyn,86968.34166853369
146 ST,Queens,85060.01834451279
E 61 ST,Manhattan,83639.70613891695
HOWARD AV,Brooklyn,83345.87682021271
DEEGAN EXWY SR,Bronx,83040.37671829203
MAJOR DEEGAN EXWY,Bronx,83040.37671829203
Broadway/ 7 Avenue Line,Manhattan,82541.50088628652
5 AVENUE,Manhattan,82182.86664512233
AMSTERDAM AV,Manhattan,81461.25402265575
FRANCIS LEWIS BLVD,Queens,80357.0
SARATOGA AV,Brooklyn,80317.82977723403
Flushing Line,Queens,78805.78257006886
ST NICHOLAS AV,Brooklyn,78124.97081820015
ROOSEVELT AVENUE,Queens,77980.7723511786
BAY PKWY SB BET 86th AND BENSON AVE,Brooklyn,77231.3765071883
BAY PARKWAY NB APPROACH TO 86TH ST,Brooklyn,77231.3765071883
WEST 178 STREET,Manhattan,76882.65846175219
W 6TH ST NB APPROACH TO 65TH ST,Brooklyn,76571.00632451398
PENNSYLVANIA AVENUE,Brooklyn,75624.07954005698
E 86 ST,Manhattan,75273.33438344942
48 STREET,Queens,75211.520377049
60TH ST APPROACHING 4TH AVE,Brooklyn,74972.44103561116
MAC DOUGAL ST,Brooklyn,74428.17126465724
S/B WOODHAVEN BLVD(M RD)@ ROCKAWAY BLVD,Queens,72562.08690303333
BAY PKWY NB BET 86th ST & 85th ST,Brooklyn,72260.942757931
BAY PARKWAY SB APPROACH TO 86TH ST,Brooklyn,72260.942757931
58 STREET,Queens,72083.69831665664
8 AV,Brooklyn,70772.35187005188
WOODHAVEN BOULEVARD,Queens,70601.99470285751
UTICA AV,Brooklyn,70384.8
BOSTON RD,Bronx,70126.78714602033
KINGS HIGHWAY,Brooklyn,70086.23733891566
Astoria Line,Manhattan,68695.43212222708
COOPER AV,Queens,68634.61677838145
N CONDUIT AV,Queens,68134.19466999259
OCEAN PARKWAY,Brooklyn,65817.5390576842
80 ST,Queens,64262.950211268566
MANHATTAN BRIDGE,Manhattan,62339.67195292766
39TH ST APPROACHING 4TH AVE,Brooklyn,61482.86286018094
115 RD,Queens,61128.0
UNNAMED ST,Queens,61096.292539341564
CENTRAL AV,Queens,59833.38694256453
52 ST,Brooklyn,59659.61385281388
E/B PARK CIRCLE @ CONEY ISLAND AVENUE,Brooklyn,59425.76111111109
N/B 223 ST @ 116 AVE,Queens,59326.0
116 AV,Queens,59199.0
S/B 223 ST @ 116 AVE,Queens,59072.0
UNION TP,Queens,58941.297791231074
1 AV,Manhattan,57835.84816327721
EAST 163 STREET,Bronx,57650.91898721187
E 14 ST,Manhattan,57144.559059707055
43RD AVE BET 50TH ST & ISLAND AT 51ST ST,Queens,56351.292539341564
MYRTLE AVENUE,Queens,56240.78670376325
51 ST,Queens,56224.292539341695
SKILLMAN AVE BET 51ST & 52ND STS,Queens,56097.292539341695
57TH ST APPROACH TO 3RD AVE,Manhattan,55983.799580877545
SENATOR ST,Brooklyn,55967.219530794144
DEKALB AVENUE,Brooklyn,55170.1622835656
LIBERTY AVENUE,Queens,55094.180581729415
MORRIS AV,Bronx,54964.29253934178
BQE SR,Queens,54839.37797854952
74 Street,Queens,54157.933669542705
WASHINGTON AVENUE,Brooklyn,53782.065735459204
W 181 ST,Manhattan,53557.365133771236
N/B 71 ST @ CENTRAL AVE,Queens,53201.53565563544
RALPH AVENUE,Brooklyn,52789.91252090516
NORTHERN BOULEVARD,Queens,52228.718446037085
KINGS HWY,Brooklyn,51954.089179100294
HUNTS POINT AVENUE,Bronx,51788.913935955534
E/B JEFFERSON AVE @ BROADWAY,Brooklyn,51729.011156965375
41 AV,Queens,51480.07339890497
E 24 ST,Manhattan,51308.72510492585
WHITE PLAINS ROAD,Bronx,51247.413558216096
KINGS HWY MAIN RD APPROACH TO UTICA AVE,Brooklyn,51215.99999999999
Brighton Line,Brooklyn,50956.94505366468
LONG ISLAND EXPWY ET 19 WB,Queens,50825.211837643306
W 60 ST,Manhattan,50793.5153503536
UNION SQ S/BROADWAY,Manhattan,50350.0
FARRAGUT ROAD,Brooklyn,50131.32614676302
JACKSON AVENUE,Bronx,49509.0938766261
EAST 59 STREET,Brooklyn,49464.10902473613
75 ST,Queens,48941.664468864416
AUDUBON AV,Manhattan,48810.365133771236
5 Avenue,Manhattan,48449.829071422806
E/B EAST 14TH ST@ IRVING PL.,Manhattan,47574.33601327928
IRVING PL,Manhattan,47447.33601327931
CORNELIA STREET,Brooklyn,47290.90904575373
Vernon Boulevard,Queens,47290.833333333336
HIGHLAWN AV,Brooklyn,47180.8
N/B W 13 ST @ HIGHLAWN AVE,Brooklyn,47053.8
Flatlands Avenue,Brooklyn,47051.35672889656
BRUCKNER BOULEVARD,Bronx,47029.81243948471
AV S,Brooklyn,46926.8
78 ST,Queens,46852.4247062495
UTICA AVE FLATBUSH AVE NB JUST NORTH OF AVE T,Brooklyn,46799.8
EASTCHESTER BRIDGE,Bronx,46316.724763322265
37 AVENUE,Queens,45850.24310913174
WOODBINE ST,Brooklyn,45755.990299812955
47 Avenue,Queens,45709.333333333336
2 AVENUE,Manhattan,45679.6960734051
ELDERT LA,Brooklyn,45407.10886639995
68 Street,Queens,44665.64660450222
BELT PARKWAY,Brooklyn,44621.98553007069
W 86 ST,Manhattan,44082.60152397152
AMTRAK RAILROAD,Queens,43993.07644246508
CROSS BAY BOULEVARD,Queens,43904.18113704915
Boston Road,Bronx,43252.5622437131
6 Avenue Line,Manhattan,43125.93259193826
F D R DRIVE,Manhattan,42684.79147665427
FLUSHING AVENUE,Brooklyn,42271.859823298255
HAMILTON AVENUE,Brooklyn,42182.806749746975
Paerdegat Avenue South,Brooklyn,41965.81288063343
MYRTLE AVE BET ST NICHOLAS AVE & PALMETTO,Brooklyn,41943.990299813675
Flatbush Avenue,Brooklyn,41806.9472047972
SOUTH STREET,Manhattan,41510.368754604926
EAST TREMONT AVENUE,Bronx,41233.84083843121
WESTCHESTER AVENUE,Bronx,40665.3972722742
EAST FORDHAM ROAD,Bronx,39935.65101386642
8 Street,Queens,39715.5
75 Street,Queens,39701.40991746215
11 STREET,Queens,39451.333333333336
Bedford Avenue,Brooklyn,39319.0
East 88 Street,Brooklyn,39242.56424200114
Franklin Avenue Shuttle Line,Brooklyn,39210.39305219001
47 ROAD,Queens,39197.333333333336
3 Street,Staten Island,39140.0
EAST GUN HILL ROAD,Bronx,39100.0
58 AV,Queens,38961.0
10 AV,Brooklyn,38652.34202656802
11 Avenue,Manhattan,38530.159947043554
AV Z,Brooklyn,38492.0
MAIN AVENUE,Queens,37789.5
CROSS IS PKWY,Queens,37192.283090556266
NEW DORP LANE,Staten Island,37149.5
W 79 ST,Manhattan,37137.69504058037
MAIN ST,Queens,37114.0
Eastchester Road,Bronx,37044.0
14 Street/canarsie Line,Manhattan,36905.72101228839
Pelham Line,Bronx,36863.48993227719
W 9 ST,Brooklyn,36808.59200642541
Clinton Street,Manhattan,36763.368754604984
SKILLMAN AV,Brooklyn,36328.18351648352
EAST 168 STREET,Bronx,36269.14468907524
CO OP CITY BLVD APPROACH TO BARTOW AVE,Bronx,36123.872893772896
PROSPECT PL,Brooklyn,36049.17195360197
69 ST,Queens,36033.24780079059
W FARMS RD,Bronx,35712.5
Harlem River Shoreline,Manhattan,35556.93414311014
2 Avenue,Manhattan,35416.30853320928
ROCKAWAY BOULEVARD,Queens,35240.468486488855
Brook Avenue,Bronx,34963.99531769497
AVE V-EB APPROACHING BEDFORD AVE,Brooklyn,34590.0
23RD ST W/O 7TH AVE,Manhattan,34435.96666666667
95 ST,Queens,34366.04549105161
CLASSON AV,Brooklyn,34264.542461526704
79 ST,Queens,34124.073398904904
12 AVENUE,Brooklyn,33879.19457736043
HOPKINSON AV,Brooklyn,33714.91944779584
PELHAM PARKWAY SOUTH,Bronx,33682.60574591965
E/B JEWEL AVE @ VAN WYCK EXPWY,Queens,33629.70415695416
6 ST,Brooklyn,33562.642857142906
NEW ENGLAND THRWY,Bronx,33526.631212914406
N/B 4 AVE @ 5 ST,Brooklyn,33435.64285714289
5 ST,Brooklyn,33308.6428571429
Howard Avenue,Brooklyn,33238.09578392622
HALSEY STREET,Brooklyn,33111.09578392622
BEDFORD AV,Staten Island,33068.0
ASCH LOOP,Bronx,33052.0
BOROUGH BOUNDARY,Brooklyn,32958.316483516486
BATH AV,Brooklyn,32801.0
WOODHAVEN BLVD,Queens,32798.07102802113
BAY PARKWAY SB APPROACH TO BATH AVE,Brooklyn,32674.0
WEST 35 STREET,Manhattan,32578.91173665946
BRUCKNER BLVD,Queens,32467.02446764115
60 Street,Brooklyn,32422.228762905484
3 AVENUE BRIDGE,Manhattan,32404.705339486824
E 59 ST,Manhattan,32277.996367504056
PROSPECT AV,Brooklyn,31912.0
Northern Boulevard,Queens,31805.08277871357
JENNINGS ST,Bronx,31761.0
GLENWOOD PLACE,Staten Island,31400.092915299734
23 AVENUE,Queens,31316.35592465324
84 ST,Brooklyn,31222.850558772145
East 34 Street,Manhattan,31006.822794037667
East 61 Street,Brooklyn,30997.60416830109
HOR HARDING EXWY SR N,Queens,30677.999999999996
NEPTUNE AVENUE,Brooklyn,30620.60757646202
43 Street,Queens,30299.930425554336
WHITE PLAINS RD,Bronx,30253.553836398227
WYCKOFF AV,Brooklyn,30102.209930151334
Washington Avenue,Brooklyn,29837.542935362497
LINDEN ST,Brooklyn,29759.980518386626
1 Avenue,Brooklyn,29649.75377132996
Culver/ 6 Avenue Line,Brooklyn,29593.949832043847
BAY RIDGE AVENUE,Brooklyn,29506.277695961362
CROPSEY AVENUE BRIDGE,Brooklyn,29468.174902730847
W 135 ST,Manhattan,29445.999999999996
GRAND CONCOURSE,Bronx,29263.304860586875
ROCHESTER AVENUE,Brooklyn,28582.045329670324
260 ST,Queens,28518.999999999996
49 AVENUE,Queens,28385.750734074845
WALLABOUT ST,Brooklyn,28383.0
147 Street,Queens,28379.619780219837
