Intersection,Borough,score
BROADWAY,Manhattan,56.0
LINDEN BLVD,Queens,18.0
WEST END AV,Manhattan,16.0
ATLANTIC AVENUE,Queens,15.0
BOROUGH BOUNDARY,Brooklyn,15.0
3 AVENUE,Manhattan,15.0
FLATBUSH AVENUE,Brooklyn,15.0
LIBERTY AV,Queens,14.0
5 AV,Brooklyn,14.0
7 AV,Brooklyn,13.0
3 AV,Manhattan,13.0
ROCKAWAY BLVD,Queens,12.0
LINDEN BOULEVARD,Brooklyn,12.0
VICTORY BOULEVARD,Staten Island,11.0
CENSUS BOUNDARY,Queens,11.0
Broadway,Queens,11.0
2 AV,Manhattan,10.0
MERRICK BOULEVARD,Queens,10.0
5 AVENUE,Manhattan,10.0
QUEENS BOULEVARD,Queens,10.0
E 14 ST,Manhattan,10.0
CONEY ISLAND AV,Brooklyn,10.0
14 Street/canarsie Line,Manhattan,10.0
ROOSEVELT AVENUE,Queens,10.0
111 STREET,Queens,10.0
OCEAN PARKWAY,Brooklyn,9.0
PARK AV,Manhattan,9.0
NORTHERN BOULEVARD,Queens,9.0
AMSTERDAM AVENUE,Manhattan,9.0
1 AVENUE,Manhattan,9.0
61 ST,Brooklyn,8.0
KISSENA BLVD,Queens,8.0
ATLANTIC AV,Brooklyn,8.0
2 AVENUE,Manhattan,8.0
NORTHERN BLVD,Queens,8.0
LIBERTY AVENUE,Queens,8.0
4 AV,Manhattan,8.0
BRUCKNER BOULEVARD,Bronx,8.0
8 AV,Brooklyn,8.0
Broadway/ 7 Avenue Line,Manhattan,8.0
WEBSTER AVENUE,Staten Island,7.0
UNION ST,Queens,7.0
WASHINGTON AVENUE,Brooklyn,7.0
FLUSHING AVENUE,Brooklyn,7.0
MADISON AV,Manhattan,7.0
EAST 163 STREET,Bronx,7.0
MAIN ST,Queens,7.0
FLATLANDS AV,Brooklyn,7.0
BROOKLYN QUEENS EXPRESSWAY,Queens,7.0
7 AVENUE,Brooklyn,7.0
WHITE PLAINS ROAD,Bronx,7.0
8 Avenue Line,Brooklyn,7.0
EAST FORDHAM ROAD,Bronx,7.0
AMSTERDAM AV,Manhattan,7.0
NEPTUNE AVENUE,Brooklyn,7.0
BOSTON ROAD,Bronx,7.0
E 60 ST,Manhattan,7.0
HILLSIDE AV,Staten Island,7.0
CROSS BAY BOULEVARD,Queens,7.0
RICHMOND ROAD,Staten Island,6.0
DEKALB AVENUE,Brooklyn,6.0
76 ST,Queens,6.0
FRANCIS LEWIS BLVD,Queens,6.0
N CONDUIT AV,Queens,6.0
HYLAN BOULEVARD,Staten Island,6.0
MYRTLE AVENUE,Queens,6.0
AV Z,Brooklyn,6.0
RIVERSIDE DR,Manhattan,6.0
SARATOGA AV,Brooklyn,6.0
