Intersection,Borough,score
BEP WB EN CONEY ISL AV,Brooklyn,1.0
FRANKLIN ST,Brooklyn,1.0
EXT,Staten Island,1.0
Hylan Blvd SB Between,Staten Island,1.0
N/B PARK AVE SOUTH @ E 19 ST,Manhattan,1.0
RAMP,Brooklyn,1.0
MAURICE AV,Queens,1.0
64 STREET,Brooklyn,1.0
7TH AVE APPROACHING 11TH ST,Brooklyn,1.0
E 83RD ST APPROACH TO CANARSIE LN,Brooklyn,1.0
PARSONS BOULEVARD,Queens,1.0
FLATBUSH AVE APPROACH TO LINCOLN RD,Brooklyn,1.0
BAYSIDE AVENUE,Queens,1.0
E TREMONT AVE APPROACH TO WATERBURY AVE,Bronx,1.0
W/B 18 AVE @ BELL BLVD,Queens,1.0
ROCKAWAY BLVD SB APPROACH TO 110TH STREET,Queens,1.0
HAMILTON AV,Brooklyn,1.0
N/B CORTELYOU AVE @ ARTHUR KILL RD,Staten Island,1.0
E/B AMBOY RD @ AINSWORTH AVE,Staten Island,1.0
AMBOY ROAD,Staten Island,1.0
N/B AINSWORTH AVE @ AMBOY RD,Staten Island,1.0
FARMERS BLVRD BTWN TURIN DRIVE & DUNKIRK DRIVE,Queens,1.0
E/B 109 AVE @  SPRINGFIELD BLVD,Queens,1.0
STATE STREET,Manhattan,1.0
E 233RD ST BET EDSON & BAYCHESTER AVES,Bronx,1.0
S/B BRONXDALE AVE @ E TREMONT AVE,Bronx,1.0
S/B ROSELLE ST @ SILVER ST,Bronx,1.0
W/B E TREMONT AVE @ BRONXDALE AVE,Bronx,1.0
S/B GCP SERVICE RD @ 75 AVE,Queens,1.0
EAST 156 STREET,Bronx,1.0
JOHNSON AVENUE,Brooklyn,1.0
N/B 1ST AVE (3 LANES  W SIDE) @ E 61 ST,Manhattan,1.0
43 AVENUE,Queens,1.0
E 233 ST,Bronx,1.0
SLOSSON AVE SB APPROACH TO TILLMAN ST,Staten Island,1.0
E/B RICHMOND RD @ MIDLAND AVE,Staten Island,1.0
TRINITY PL,Manhattan,1.0
BROADWAY EB APPROACH TO 59TH ST,Queens,1.0
S/B ELLSWORTH AVE @  DRUMGOOLE RD W,Staten Island,1.0
NEW LOTS AVENUE,Brooklyn,1.0
Ocean Pkwy SB Between,Brooklyn,1.0
WEXFORD TERRACE,Queens,1.0
DUNKIRK STREET,Queens,1.0
WOOD STREET,Queens,1.0
HANSON PL,Brooklyn,1.0
AVE OF THE AMERICAS,Manhattan,1.0
WEBSTER AVENUE,Staten Island,1.0
LINDEN BLVRD BTWN MEXICO ST & FARMERS BLVRD,Queens,1.0
E/B CHAMBERS ST @ W BROADWAY - CHURCH ST,Manhattan,1.0
BEACH 9 STREET,Queens,1.0
150 STREET,Queens,1.0
ROCKAWAY BLVD EB APPROACHING 101ST ST,Queens,1.0
S/B UNION SQUARE WEST@ EAST 14TH ST,Manhattan,1.0
S/B UNION SQUARE WEST @ E 14 ST,Manhattan,1.0
ALBEE AVENUE,Staten Island,1.0
MAJOR AVE BTWN DUER AVE & LILY POND AVE,Staten Island,1.0
GEORGIA AVENUE,Brooklyn,1.0
N/B YORK AVE @ E 61 ST,Manhattan,1.0
TER DR,Manhattan,1.0
VYSE AVE BET W FARMS RD & HOME ST,Bronx,1.0
SCHROEDERS AVENUE,Brooklyn,1.0
LEFFERTS BLVD SB APPROACH TO ROCKAWAY BLVD,Queens,1.0
BOOTH MEMORIAL AV,Queens,1.0
CONDUIT AVE EB APPROACH TO ROCKAWAY BLVD,Queens,1.0
Flatbush Ave NB Between,Brooklyn,1.0
S/B AMSTERDAM AVE @ W 162 ST,Manhattan,1.0
CENTRE STREET,Manhattan,1.0
MT MORRIS PARK W BET W 124TH ST & W 123RD ST,Manhattan,1.0
W/B SACKETT ST @ SMITH ST,Brooklyn,1.0
W/B 37 AVE @ 34 ST,Queens,1.0
E/B 37 AVE @ 34 ST,Queens,1.0
149 PLACE,Queens,1.0
PAERDEGAT AV N,Brooklyn,1.0
W/B BROADWAY @ ELMHURST AVE,Queens,1.0
W/B POWERS ST @ GRAHAM ST,Brooklyn,1.0
W/B POWERS ST @ GRAHAM AVE,Brooklyn,1.0
Winthrop St,Brooklyn,1.0
N/B 7 AVENUE @ 86 STREET,Brooklyn,1.0
MILES AV,Staten Island,1.0
N/B GREAVES AVE @ DEWY AVE,Staten Island,1.0
E/B 56 ST @ 18 AVE,Brooklyn,1.0
UTICA AVE SB APPROACH TO EMPIRE BLVD,Brooklyn,1.0
S/B FORT WASHINGTON AVE @ W 179TH ST,Manhattan,1.0
N/B 89 ST @ PARK LANE SOUTH,Queens,1.0
AVE Z BET HOMECREST AVE & E 13TH ST,Brooklyn,1.0
S/B 5TH AVE @ E 60TH ST,Manhattan,1.0
PAGE AVENUE,Staten Island,1.0
Richmond Rd,Staten Island,1.0
PARK AVE @ RYERSON ST,Brooklyn,1.0
58 ROAD,Queens,1.0
E 29 ST,Brooklyn,1.0
S/B 5 AVENUE @ EAST 65 ST - EAST 64 ST,Manhattan,1.0
CONTINENTAL AVE APPROACH PELHAM PKWY SO,Bronx,1.0
N/B GERRITSEN AVE @ CHANNEL AVE,Brooklyn,1.0
YORK AVE BET E 88TH ST & E 89TH ST,Manhattan,1.0
YORK AVE BET E 88TH ST & 89TH ST,Manhattan,1.0
E/B AVE T @ PEARSON ST,Brooklyn,1.0
3RD AVE APPROACH TO 57TH ST,Manhattan,1.0
PARK AVE APPROACH TO 57TH ST,Manhattan,1.0
Victory Blvd EB Between,Staten Island,1.0
Victory Blvd WB Between,Staten Island,1.0
FOREST AVENUE,Queens,1.0
218 PLACE,Queens,1.0
E/B NASSAU AVE @ MANHATTAN AVE,Brooklyn,1.0
W/B MERRICK BLVD @ 243 ST (CITY LINE),Queens,1.0
FREEMAN STREET,Brooklyn,1.0
YORK AVE BET E 90TH ST & E 91ST ST,Manhattan,1.0
FREDERICK DOUGLASS BOULEVARD,Manhattan,1.0
E/B ARTHUR KILL RD @ SHARROTTS RD,Staten Island,1.0
NB STILLWELL AVE APPROACH MERMAID AVE,Brooklyn,1.0
223 STREET,Queens,1.0
CROSS ISLAND PARKWAY SR SOUTH,Queens,1.0
SOUTHERN BLVD APPROACH TO LONGWOOD AVE,Bronx,1.0
CROPSEY AVENUE,Brooklyn,1.0
N/B AMSTERDAM AVE @ W 110 ST,Manhattan,1.0
EDGECOMBE AVENUE,Manhattan,1.0
ANDERSON AVENUE,Bronx,1.0
S/B AMSTERDAM AVE @ W 110 ST,Manhattan,1.0
BAY 29 STREET,Brooklyn,1.0
MORNINGSIDE AV,Manhattan,1.0
BOGART ST,Brooklyn,1.0
VAN BUREN STREET,Brooklyn,1.0
NEWTOWN AVE,Queens,1.0
56 STREET,Queens,1.0
THAMES STREET,Brooklyn,1.0
TEN EYCK ST,Brooklyn,1.0
SCHOLES ST,Brooklyn,1.0
MESEROLE ST,Brooklyn,1.0
MYRTLE AVE BET EVERGREEN AVE & HART ST,Brooklyn,1.0
STOCKHOLM ST,Brooklyn,1.0
KNICKERBOCKER AVENUE,Brooklyn,1.0
SCOTT AVENUE,Brooklyn,1.0
Broadway Bridge,Manhattan,1.0
HUTCHINSON RIVER PARKWAY EAST,Bronx,1.0
32 AVENUE,Queens,1.0
W/B MILL BASIN BRIDGE @ BELT PKWY,Brooklyn,1.0
W/B E 14 ST (SERVICE) @ 1ST AVE,Manhattan,1.0
W/B E 14 ST (SERVICE RD) @ 1ST AVE,Manhattan,1.0
EAST 125 STREET,Manhattan,1.0
WEST 180 STREET,Bronx,1.0
SCHERMERHORN STREET,Brooklyn,1.0
W/B UNION TURNPIKE @ LANGDALE ST -,Queens,1.0
MIDDLETOWN RD,Bronx,1.0
S/B FRESH KILLS BRIDGE @ FOREST HILL RD-,Staten Island,1.0
WEST BURNSIDE AVENUE,Bronx,1.0
E/B W 235 ST @ INDEPENDENCE AVE,Bronx,1.0
3RD AVE APPROACHING E  72 ND ST,Manhattan,1.0
69 STREET,Queens,1.0
RUST STREET,Queens,1.0
BARTOW AVE APPROACH TO CO OP CITY BLVD,Bronx,1.0
STATE ST,Manhattan,1.0
New Dorp La WB Between,Staten Island,1.0
MARTLING AVENUE,Staten Island,1.0
WILLIAM/OLD SLIP,Manhattan,1.0
HALLECK STREET,Bronx,1.0
WATER STREET,Manhattan,1.0
BROADWAY BET MANHATTAN COLLEGE PKWY & W 251ST ST,Bronx,1.0
LIBERTY STREET,Manhattan,1.0
Bronx River Parkway,Bronx,1.0
BROADWAY EB APPROACH TO 55TH ST,Queens,1.0
SHORE PARKWAY,Brooklyn,1.0
ASTORIA BLVD N,Queens,1.0
BERRIAN BOULEVARD,Queens,1.0
S/B MADISON AVE (S OF W 142 ST @ 5 AVE),Manhattan,1.0
CO OP CITY BLVD APPROACH TO ROMBOUTS AVE,Bronx,1.0
BQE WB EXIT 37,Queens,1.0
W BROADWAY,Manhattan,1.0
ST ANNS AVENUE,Bronx,1.0
VAN CORTLANDT AVENUE EAST,Bronx,1.0
147 AV,Queens,1.0
S/B HUTCHINSON RIVER PKWY @ BARTOW AVE,Bronx,1.0
DUMONT AVENUE,Brooklyn,1.0
E 165TH ST BET E 164TH & CRAND CONCOURSE,Bronx,1.0
Grand Concourse NB Mainline,Bronx,1.0
N/B KENT AVE @ NORTH 14TH ST,Brooklyn,1.0
S/B MAIN ST @ 78 ROAD,Queens,1.0
N/B MAIN ST @ 78 ROAD,Queens,1.0
N/B MAIN ST @ 78 RD (N LEG),Queens,1.0
MADISON AVENUE BR APPROACH,Bronx,1.0
DAHLGREN PLACE,Brooklyn,1.0
109 AVENUE,Queens,1.0
WILLETS POINT BOULEVARD,Queens,1.0
HENRY HUDSON PKWY W,Bronx,1.0
E/B ST. CLAIRE PLACE @ RIVERSIDE DR,Manhattan,1.0
E/B ARTHUR KILL RD @ CORTELYOU AVE,Staten Island,1.0
N/B CLASSON AVE @ CLIFTON PLACE,Brooklyn,1.0
W/B SANTIAGO ST @ PALO ALTO AVE,Queens,1.0
E/B SANTIAGO ST @ PALO ALTO AVE,Queens,1.0
N/B GOULDEN AVE @ W 197 ST,Bronx,1.0
S/B GOULDEN AVE @ RESERVOIR AVE,Bronx,1.0
S/B RESERVOIR AVE @ STRONG ST,Bronx,1.0
E/B BRUCKNER EXPWY MAIN @ BRONX RIVR AVE,Bronx,1.0
NEW YORK AVENUE,Brooklyn,1.0
BROOKLYN AVENUE,Brooklyn,1.0
BROOKLYN AVE BTWN FULTON ST & HERKIMER ST,Brooklyn,1.0
N/B MARSH AVE @ S. I. MALL DR,Staten Island,1.0
STEINWAY AVENUE,Staten Island,1.0
NOME AVENUE,Staten Island,1.0
FLUSHING AVE @ RYERSON ST,Brooklyn,1.0
ADAMS PLACE,Bronx,1.0
128 ST,Queens,1.0
N/B ECKFORD ST @ NASSAU AVE,Brooklyn,1.0
S 8 ST,Brooklyn,1.0
BQE EB EN WILLIAMSBURG STREET E,Brooklyn,1.0
PARK LANE,Queens,1.0
N/B TRYON AVE @ E GUN HILL RD,Bronx,1.0
N/B PARK CIRCLE @ PARKSIDE AVENUE,Brooklyn,1.0
S 5 PL,Brooklyn,1.0
PELHAM BRIDGE,Bronx,1.0
FRESH MEADOW LANE,Queens,1.0
W/B EAST GUN HILL RD @ KINGS COLLEGE PL,Bronx,1.0
W/B EAST GUN HILL RD @ TRYON AVE,Bronx,1.0
EXIT FROM GOWANUS TO FT HAMILTON PKWY,Brooklyn,1.0
SOUTH 9 STREET,Brooklyn,1.0
CONEY ISL AVE & CORTELYOU RD BET AVE C & CORTELYOU,Brooklyn,1.0
W/B 75 AVE @ 150 ST,Queens,1.0
BROADWAY BET HENRY HUDSON PKWY SB EXIT & 256TH ST,Bronx,1.0
LINDENWOOD RD,Staten Island,1.0
KINGSTON AVENUE,Brooklyn,1.0
MAJOR DEEGAN EXPRESSWAY SR,Bronx,1.0
E/B E GUN HILL RD @ TRYON AVE,Bronx,1.0
RIVERDALE AV,Bronx,1.0
